優先順位	ブランド（屋号）名	店舗名	店舗名ひらがな	カテゴリ分類	取り扱いブランド	他表記	サイズ	カテゴリ	注記	地区マスタ	郵便番号	都道府県	住所1	住所2	電話番号	路面店	営業時間	地図画像		経理表記				経理最新DB	郵便番号	住所１　　　　　　　　　　　　　　　　　	住所２　　　　　　　　　　 	電話番号 			店舗名　　　　　　　　　　　　　　　　　			丸井	イオン	髙島屋
5	コムサプラチナ	池袋東武　	いけぶくろとうぶ	レディース	コムサデモード,KT,ギャバジンK.T	婦人,婦人服,女,女性,ウーマン,レディス,WOMAN,WOMEN,LADY,LADYS,LADIES,LADIE'S		レディス,コムサデモード,ギャバジンK.T,K.T		東京地区	171-8512	東京都	豊島区西池袋1-1-25	東武百貨店池袋店本館4Ｆ-1	03-5954-8042					コムサプラチナ　池袋東武　　　　　　　　		0	新規	コムサプラチナ　池袋東武　　　　　　　　	171-8512	東京都豊島区西池袋１－１－２５　　　　　	㈱東武百貨店池袋店本館４Ｆ－１	03-5954-8042   			コムサプラチナ　池袋東武　　　　　　　　	1901200102				
4	コムサ&K.T	新宿伊勢丹	しんじゅくいせたん	レディース	コムサデモード,KT	婦人,婦人服,女,女性,ウーマン,レディス,WOMAN,WOMEN,LADY,LADYS,LADIES,LADIE'S		レディス		東京地区	160-0022	東京都	新宿区新宿３－１４－１	伊勢丹本店本館　4Ｆ　	03-5367-3165																					
3	ギャバジンK.T コムサデモード	仙台藤崎	せんだいふじさき	レディース	ギャバジンK.T,コムサデモード	婦人,婦人服,女,女性,ウーマン,レディス,WOMAN,WOMEN,LADY,LADYS,LADIES,LADIE'S,大きいサイズ	1	レディス(大きいサイズ)		仙台・山形・福島地区	980-8652	宮城県	仙台市青葉区一番町3-2-17	藤崎 6Ｆ	022-716-2236					ＧＫＴ＋＆ＣＣＤＭＴＡＬＬ仙台藤崎　　　		0	新規	ＧＫＴ＋＆ＣＣＤＭＴＡＬＬ仙台藤崎　　　	980-8652	宮城県仙台市青葉区一番町３－２－１７　　	株式会社　藤崎　６Ｆ　　　　　	022-716-2236   			ＧＫＴ＋＆ＣＣＤＭＴＡＬＬ仙台藤崎　　　	1925700125				
	ギャバジンK.T＋	広島そごう	ひろしまそごう	レディース	ギャバジンK.T	婦人,婦人服,女,女性,ウーマン,レディス,WOMAN,WOMEN,LADY,LADYS,LADIES,LADIE'S,大きいサイズ	1	レディス(大きいサイズ)		中国・四国地区	730-8501	広島県	広島市中区基町6-27	そごう広島店本館 5Ｆ	082-502-3620					ギャバジンＫ・Ｔ＋　広島そごう　　　　　		0	新規	ギャバジンＫ・Ｔ＋　広島そごう　　　　　	730-8501	広島県広島市中区基町６－２７　　　　　㈱	そごう・西武　そごう広島店本館	082-502-3620   			ギャバジンＫ・Ｔ＋　広島そごう　　　　　	1960901060				
	コムサデモード ギャバジンK.T	名古屋高島屋	なごやたかしまや	レディース	コムサデモード,ギャバジンK.T,KT	婦人,婦人服,女,女性,ウーマン,レディス,WOMAN,WOMEN,LADY,LADYS,LADIES,LADIE'S,大きいサイズ	1	レディス(大きいサイズ)		東海地区	450-6001	愛知県	名古屋市中村区名駅1-1-4	ジェイアール名古屋タカシマヤ 6Ｆ	052-533-1586					ヴィーナスクローゼット　名古屋髙島屋　　		0	新規	ヴィーナスクローゼット　名古屋髙島屋　　	450-6001	名古屋市中村区名駅１－１－４　　　　㈱シ	東海髙島屋　ＪＲ名古屋タカシマ	052-533-1586   			ヴィーナスクローゼット　名古屋髙島屋　　	1944151065				1
	ヴィーナスクローゼット	心斎橋大丸	しんさいばしだいまる	レディース	ヴィーナスクローゼット,ギャバジンK.T,バジーレ28	婦人,婦人服,女,女性,ウーマン,レディス,WOMAN,WOMEN,LADY,LADYS,LADIES,LADIE'S,大きいサイズ	1	レディス(大きいサイズ)		関西地区	542-8501	大阪府	大阪市中央区心斎橋筋１－７－１	大丸大阪心斎橋店　北館7F	06-6244-5026					ヴィーナスクローゼット　心斎橋大丸　　　		0	新規	ヴィーナスクローゼット　心斎橋大丸　　　	542-8501	大阪府大阪市中央区心斎橋筋１－７－１　　	大丸松坂屋百貨店心斎橋店北館７	06-6244-5026   			ヴィーナスクローゼット　心斎橋大丸　　　	1951751040				
	コムサステージ	マルイシティ横浜	まるいしてぃよこはま	メンズ	コムサステージ(MEN),コムサメン,アルチザン(MEN),PPFM,コムサコミューン,パープル&イエロー(MEN)	紳士,紳士服,男,男性,MAN,MEN,MEN'S,MENS		メンズ,コムサメン,アルチザン(MEN),PPFM,コムサコミューン,パープル＆イエロー(M)　　		東京地区	220-0011	神奈川県	横浜市西区高島２－１９－１２    	マルイシティ横浜　７Ｆ	045-450-1050					コムサステージ　マルイシティ横浜　　　　　　　		0	新規	コムサステージ　マルイシティ横浜        	220-0011	神奈川県横浜市西区高島２－１９－１２    	㈱丸井　マルイシティ横浜　７Ｆ	045-450-1050   			コムサステージ　マルイシティ横浜        	1901907715				
	コムサメン・プラチナ	東京大丸	とうきょうだいまる	メンズ	コムサメン,アルチザン(MEN)	紳士,紳士服,男,男性,MAN,MEN,MEN'S,MENS		メンズ		東京地区	100-0005	東京都	千代田区丸の内1-9-1	大丸東京店 8Ｆ	03-5220-3665																					
	アルチザン	渋谷西武	しぶやせいぶ	メンズ	アルチザン(MEN)	紳士,紳士服,男,男性,MAN,MEN,MEN'S,MENS		メンズ		東京地区	150-8330	東京都	渋谷区宇田川町21-2	西武百貨店渋谷店Ｂ館 5Ｆ	03-5489-7615					アルチザンメン　渋谷西武　　　　　　　　		0	新規	アルチザンメン　渋谷西武　　　　　　　　	150-8330	東京都渋谷区宇田川町２１‐２　　　　　　	㈱そごう・西武　西武渋谷店Ｂ館	03-5489-7615   			アルチザンメン　渋谷西武　　　　　　　　	1900501018				
	PPFM2	熊本鶴屋	くまもとつるや	メンズ	PPFM	紳士,紳士服,男,男性,MAN,MEN,MEN'S,MENS		メンズ		九州地区	860-8586	熊本県	熊本市手取本町6-1	鶴屋百貨店ＷＩＮＧ館 4Ｆ	096-326-5256					ＰＰＦＭ　熊本鶴屋　　　　　　　　　　　		0	新規	ＰＰＦＭ　熊本鶴屋　　　　　　　　　　　	860-8586	熊本県熊本市手取本町６－１　　　　　　　	（株）鶴屋百貨店ＷＩＮＧ館４Ｆ	096-326-5256   			ＰＰＦＭ　熊本鶴屋　　　　　　　　　　　	1985300110				
